text,label
"Купил сок в магазине",Продукты
"Совершил покупку пельменей",Продукты
"Закупил воды",Продукты
"Купил много продуктов", Продукты
"Купил 5 кг картошки",Продукты
"Купил овощи",Продукты
"Купил много фруктов",Продукты
"Совершил покупку рыбы",Продукты
"Оплатил кварплату",Услуги
"Оплатил интернет",Услуги
"Совершил оплату интернета",Услуги
"Совершил оплату интернета за 3 месяца",Услуги
"Оплатил мобильную связь",Услуги
"Купил автомобиль",Автомобили
"Купил машину",Автомобили
"Купил костюм",Одежда
"Совершил покупку костюма",Одежда
"Купил смокинг",Одежда
"Купил штаны",Одежда
Покупка продуктов,Продукты
Оплата коммунальных услуг,Коммунальные услуги
Покупка одежды,Одежда
Покупка обуви,Обувь
Купил ботинки,Обувь
Покупка электроники,Электроника
Купил телевизор,Электроника
Купил компьютер,Электроника
Купил ноутбук,Электроника
Купил мобильный телефон,Электроника
Покупка мебели,Дом
Покупка бытовой техники,Бытовая техника
Оплата мобильной связи,Услуги
Покупка косметики,Личные расходы
Покупка лекарств,Здоровье
Оплата фитнес-клуба,Здоровье
Покупка книг,Развлечения
Покупка игрушек,Дети
Оплата детского сада,Дети
Покупка канцтоваров,Личные расходы
Покупка подарков,Подарки
Оплата такси,Транспорт
Покупка билетов на поезд,Транспорт
Оплата бензина,Транспорт
Покупка билетов в кино,Развлечения
Покупка билетов на концерт,Развлечения
Оплата подписки на стриминг,Развлечения
Покупка цветов,Подарки
Покупка ювелирных изделий,Личные расходы
Оплата страхования,Здоровье
Покупка спортивного инвентаря,Здоровье
Оплата курсов,Образование
Покупка учебников,Образование
Оплата репетитора,Образование
Покупка аксессуаров для животных,Домашние животные
Оплата аренды жилья,Жилье
Покупка стройматериалов,Ремонт
Оплата услуг строителей,Ремонт
Покупка обоев,Ремонт
Покупка краски,Ремонт
Оплата услуг дизайнера,Ремонт
Покупка садовых инструментов,Сад и огород
Покупка семян,Сад и огород
Оплата услуг садовника,Сад и огород
Покупка удобрений,Сад и огород
Покупка растений,Сад и огород
Оплата услуг уборщицы,Дом
Покупка моющих средств,Дом
Покупка посуды,Дом
Покупка постельного белья,Дом
Покупка полотенец,Дом
Оплата услуг прачечной,Дом
Покупка кухонной техники,Дом
Покупка ковров,Дом
Покупка штор,Дом
Оплата услуг электрика,Дом
Оплата услуг сантехника,Дом
Покупка инструментов,Дом
Покупка лампочек,Дом
Покупка батареек,Дом
Оплата услуг грузчиков,Дом
Покупка чемодана,Путешествия
Оплата авиабилетов,Путешествия
Оплата проживания в отеле,Путешествия
Покупка сувениров,Путешествия
Оплата экскурсий,Путешествия
Покупка путевки,Путешествия
Купил путевку,Путешествия
Оплата визы,Путешествия
Покупка страховки для путешествий,Путешествия
Оплата аренды автомобиля,Путешествия
Покупка карт памяти,Электроника
Покупка зарядных устройств,Электроника
Покупка наушников,Электроника
Оплата праздничного транспорта,Подарки
Покупка праздничных аксессуаров,Подарки
Оплата праздничного декора,Подарки
Покупка праздничных игрушек,Подарки
Оплата праздничного выступления,Подарки
Покупка праздничных конфет,Подарки
Оплата праздничного мероприятия,Подарки
Покупка продуктов в супермаркете,Продукты
Оплата коммунальных услуг,Коммунальные услуги
Покупка одежды,Одежда
Посещение ресторана,Развлечения
Покупка билетов в кино,Развлечения
Оплата мобильной связи,Связь
Покупка лекарств в аптеке,Здоровье
Покупка книги,Образование
Покупка бытовой техники,Бытовая техника
Покупка мебели,Дом
Оплата проезда в общественном транспорте,Транспорт
Покупка бензина,Транспорт
Покупка подарка,Подарки
Оплата фитнес-клуба,Здоровье
Покупка косметики,Личные расходы
Оплата курсов английского языка,Образование
Покупка игрушек для детей,Дети
Оплата детского сада,Дети
Покупка билетов на концерт,Развлечения
Покупка цветов,Подарки
Оплата страхования,Страхование
Покупка спортивного инвентаря,Здоровье
Покупка электроники,Техника
Оплата подписки на онлайн-сервис,Развлечения
Покупка аксессуаров,Личные расходы
Оплата аренды квартиры,Жилье
Покупка строительных материалов,Дом
Оплата услуг парикмахера,Личные расходы
Покупка канцелярии,Образование
Оплата курсов программирования,Образование
Покупка билетов на поезд,Транспорт
Покупка авиабилетов,Транспорт
Покупка видеоигр,Развлечения
Оплата подписки на журнал,Развлечения
Покупка настольных игр,Развлечения
Купил дом,Недвижимость
Купил квартиру,Недвижимость
Купил квартиру в городе,Недвижимость
Купил квартиру в Москве,Недвижимость
